id,year,age,class,degree,sex,marital,race,happy,zodiac,party
2781,2016,42,WORKING CLASS,LT HIGH SCHOOL,MALE,MARRIED,BLACK,HAPPY,AQUARIUS,Dem
1113,2016,52,MIDDLE CLASS,GRADUATE,FEMALE,MARRIED,WHITE,HAPPY,AQUARIUS,Rep
932,2016,20,WORKING CLASS,LT HIGH SCHOOL,FEMALE,NEVER MARRIED,OTHER,HAPPY,LEO,Ind
1889,2016,53,MIDDLE CLASS,GRADUATE,MALE,MARRIED,WHITE,HAPPY,TAURUS,Rep
1435,2016,58,WORKING CLASS,LT HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,HAPPY,CAPRICORN,Dem
1350,2016,27,MIDDLE CLASS,BACHELOR,MALE,DIVORCED,WHITE,UNHAPPY,TAURUS,Ind
2426,2016,42,WORKING CLASS,HIGH SCHOOL,MALE,MARRIED,WHITE,HAPPY,VIRGO,Rep
1910,2016,24,UPPER CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,BLACK,HAPPY,GEMINI,Ind
1075,2016,57,LOWER CLASS,HIGH SCHOOL,MALE,MARRIED,BLACK,UNHAPPY,ARIES,Dem
2350,2016,54,MIDDLE CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,LEO,Rep
1825,2016,50,WORKING CLASS,BACHELOR,MALE,NEVER MARRIED,WHITE,HAPPY,LIBRA,Rep
2064,2016,88,MIDDLE CLASS,GRADUATE,MALE,WIDOWED,WHITE,HAPPY,SCORPIO,Rep
1595,2016,28,MIDDLE CLASS,BACHELOR,FEMALE,MARRIED,WHITE,HAPPY,CAPRICORN,Ind
2722,2016,34,WORKING CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,HAPPY,GEMINI,Dem
1739,2016,69,MIDDLE CLASS,GRADUATE,FEMALE,MARRIED,WHITE,HAPPY,SAGITTARIUS,Ind
2137,2016,64,MIDDLE CLASS,BACHELOR,MALE,MARRIED,WHITE,HAPPY,GEMINI,Rep
1345,2016,53,WORKING CLASS,HIGH SCHOOL,FEMALE,DIVORCED,WHITE,HAPPY,SCORPIO,Ind
343,2016,62,MIDDLE CLASS,GRADUATE,FEMALE,MARRIED,WHITE,HAPPY,VIRGO,Rep
2643,2016,29,WORKING CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,BLACK,HAPPY,PISCES,Ind
2456,2016,53,WORKING CLASS,JUNIOR COLLEGE,MALE,NEVER MARRIED,WHITE,HAPPY,LIBRA,Ind
2113,2016,53,WORKING CLASS,HIGH SCHOOL,FEMALE,SEPARATED,WHITE,HAPPY,TAURUS,Ind
2291,2016,18,WORKING CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,UNHAPPY,ARIES,Ind
1166,2016,31,LOWER CLASS,HIGH SCHOOL,MALE,MARRIED,WHITE,UNHAPPY,SCORPIO,Dem
2673,2016,29,LOWER CLASS,LT HIGH SCHOOL,FEMALE,NEVER MARRIED,OTHER,UNHAPPY,VIRGO,Dem
2575,2016,73,MIDDLE CLASS,LT HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,LEO,Rep
1545,2016,33,LOWER CLASS,LT HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,UNHAPPY,LIBRA,Ind
2698,2016,54,MIDDLE CLASS,GRADUATE,FEMALE,MARRIED,WHITE,HAPPY,CAPRICORN,Dem
36,2016,35,MIDDLE CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,UNHAPPY,GEMINI,Rep
2374,2016,25,MIDDLE CLASS,LT HIGH SCHOOL,FEMALE,MARRIED,BLACK,HAPPY,VIRGO,Rep
1677,2016,30,LOWER CLASS,LT HIGH SCHOOL,FEMALE,DIVORCED,WHITE,HAPPY,LEO,Ind
2167,2016,47,LOWER CLASS,JUNIOR COLLEGE,FEMALE,MARRIED,WHITE,UNHAPPY,SCORPIO,Rep
575,2016,38,WORKING CLASS,HIGH SCHOOL,MALE,SEPARATED,WHITE,UNHAPPY,SAGITTARIUS,Dem
864,2016,28,MIDDLE CLASS,GRADUATE,FEMALE,NEVER MARRIED,OTHER,HAPPY,LEO,Dem
49,2016,23,MIDDLE CLASS,BACHELOR,MALE,NEVER MARRIED,WHITE,HAPPY,CAPRICORN,Ind
67,2016,29,WORKING CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,OTHER,HAPPY,LEO,Ind
588,2016,58,WORKING CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,BLACK,UNHAPPY,VIRGO,Rep
16,2016,33,WORKING CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,WHITE,HAPPY,TAURUS,Ind
1264,2016,68,WORKING CLASS,HIGH SCHOOL,FEMALE,WIDOWED,WHITE,UNHAPPY,CAPRICORN,Dem
1333,2016,34,MIDDLE CLASS,GRADUATE,FEMALE,NEVER MARRIED,WHITE,HAPPY,PISCES,Ind
56,2016,42,MIDDLE CLASS,BACHELOR,FEMALE,MARRIED,WHITE,HAPPY,TAURUS,Ind
689,2016,48,WORKING CLASS,HIGH SCHOOL,FEMALE,MARRIED,BLACK,UNHAPPY,LIBRA,Ind
860,2016,56,WORKING CLASS,HIGH SCHOOL,MALE,MARRIED,BLACK,HAPPY,LIBRA,Dem
613,2016,47,WORKING CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,BLACK,HAPPY,LEO,Dem
2066,2016,62,MIDDLE CLASS,GRADUATE,FEMALE,NEVER MARRIED,WHITE,HAPPY,VIRGO,Dem
1402,2016,24,WORKING CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,BLACK,UNHAPPY,VIRGO,Ind
1635,2016,30,WORKING CLASS,JUNIOR COLLEGE,FEMALE,DIVORCED,WHITE,HAPPY,CANCER,Ind
1147,2016,49,WORKING CLASS,GRADUATE,FEMALE,DIVORCED,WHITE,HAPPY,GEMINI,Ind
2478,2016,61,MIDDLE CLASS,GRADUATE,MALE,MARRIED,WHITE,HAPPY,TAURUS,Dem
1859,2016,71,MIDDLE CLASS,GRADUATE,FEMALE,WIDOWED,WHITE,HAPPY,LEO,Dem
2524,2016,33,WORKING CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,LEO,Dem
407,2016,53,WORKING CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,UNHAPPY,ARIES,Rep
2701,2016,51,WORKING CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,PISCES,Rep
2310,2016,55,WORKING CLASS,LT HIGH SCHOOL,MALE,MARRIED,WHITE,HAPPY,ARIES,Ind
1511,2016,79,MIDDLE CLASS,BACHELOR,FEMALE,WIDOWED,WHITE,HAPPY,CAPRICORN,Rep
917,2016,71,MIDDLE CLASS,HIGH SCHOOL,FEMALE,DIVORCED,WHITE,HAPPY,TAURUS,Rep
1911,2016,54,MIDDLE CLASS,HIGH SCHOOL,FEMALE,MARRIED,BLACK,UNHAPPY,LIBRA,Dem
459,2016,48,MIDDLE CLASS,BACHELOR,FEMALE,DIVORCED,WHITE,HAPPY,CANCER,Rep
2829,2016,85,WORKING CLASS,HIGH SCHOOL,FEMALE,WIDOWED,WHITE,HAPPY,VIRGO,Dem
98,2016,25,MIDDLE CLASS,BACHELOR,MALE,NEVER MARRIED,BLACK,HAPPY,SCORPIO,Ind
769,2016,53,WORKING CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,SAGITTARIUS,Ind
1094,2016,62,MIDDLE CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,TAURUS,Rep
2057,2016,26,LOWER CLASS,LT HIGH SCHOOL,FEMALE,NEVER MARRIED,BLACK,HAPPY,SCORPIO,Ind
125,2016,71,MIDDLE CLASS,GRADUATE,MALE,MARRIED,WHITE,HAPPY,ARIES,Ind
2188,2016,62,UPPER CLASS,GRADUATE,FEMALE,MARRIED,WHITE,HAPPY,VIRGO,Ind
1334,2016,68,MIDDLE CLASS,JUNIOR COLLEGE,MALE,DIVORCED,BLACK,UNHAPPY,AQUARIUS,Ind
2146,2016,55,WORKING CLASS,HIGH SCHOOL,FEMALE,DIVORCED,WHITE,HAPPY,SAGITTARIUS,Rep
1502,2016,25,MIDDLE CLASS,BACHELOR,MALE,NEVER MARRIED,WHITE,HAPPY,CAPRICORN,Ind
1007,2016,34,WORKING CLASS,BACHELOR,FEMALE,MARRIED,WHITE,HAPPY,LEO,Ind
579,2016,66,UPPER CLASS,HIGH SCHOOL,FEMALE,WIDOWED,BLACK,HAPPY,LEO,Dem
2557,2016,19,MIDDLE CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,WHITE,HAPPY,TAURUS,Ind
1524,2016,64,MIDDLE CLASS,JUNIOR COLLEGE,MALE,DIVORCED,WHITE,HAPPY,PISCES,Ind
2610,2016,47,WORKING CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,GEMINI,Ind
793,2016,26,LOWER CLASS,LT HIGH SCHOOL,FEMALE,NEVER MARRIED,WHITE,HAPPY,VIRGO,Ind
1693,2016,19,LOWER CLASS,JUNIOR COLLEGE,FEMALE,NEVER MARRIED,BLACK,HAPPY,CANCER,Ind
755,2016,31,LOWER CLASS,LT HIGH SCHOOL,FEMALE,WIDOWED,OTHER,HAPPY,SAGITTARIUS,Dem
2180,2016,23,WORKING CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,HAPPY,VIRGO,Rep
1342,2016,65,WORKING CLASS,HIGH SCHOOL,MALE,MARRIED,WHITE,HAPPY,SCORPIO,Ind
140,2016,62,WORKING CLASS,HIGH SCHOOL,MALE,WIDOWED,WHITE,HAPPY,CANCER,Rep
1528,2016,55,LOWER CLASS,BACHELOR,FEMALE,NEVER MARRIED,WHITE,UNHAPPY,GEMINI,Dem
163,2016,61,LOWER CLASS,HIGH SCHOOL,FEMALE,DIVORCED,WHITE,UNHAPPY,SCORPIO,Dem
412,2016,37,MIDDLE CLASS,BACHELOR,MALE,MARRIED,WHITE,HAPPY,CAPRICORN,Ind
2762,2016,46,MIDDLE CLASS,LT HIGH SCHOOL,MALE,MARRIED,WHITE,HAPPY,VIRGO,Ind
503,2016,24,LOWER CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,WHITE,HAPPY,AQUARIUS,Ind
737,2016,52,MIDDLE CLASS,GRADUATE,FEMALE,MARRIED,BLACK,HAPPY,SAGITTARIUS,Dem
1263,2016,50,WORKING CLASS,HIGH SCHOOL,MALE,DIVORCED,WHITE,UNHAPPY,TAURUS,Ind
1809,2016,56,LOWER CLASS,HIGH SCHOOL,FEMALE,DIVORCED,WHITE,UNHAPPY,PISCES,Dem
1226,2016,52,WORKING CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,LEO,Rep
1885,2016,56,MIDDLE CLASS,GRADUATE,MALE,MARRIED,BLACK,HAPPY,VIRGO,Ind
419,2016,26,LOWER CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,BLACK,HAPPY,SAGITTARIUS,Ind
1896,2016,70,WORKING CLASS,HIGH SCHOOL,FEMALE,WIDOWED,WHITE,HAPPY,GEMINI,Ind
1535,2016,69,WORKING CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,SCORPIO,Ind
2464,2016,20,WORKING CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,WHITE,HAPPY,ARIES,Dem
876,2016,65,WORKING CLASS,JUNIOR COLLEGE,FEMALE,DIVORCED,WHITE,HAPPY,CAPRICORN,Dem
525,2016,85,UPPER CLASS,GRADUATE,MALE,MARRIED,WHITE,HAPPY,GEMINI,Dem
1019,2016,30,LOWER CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,UNHAPPY,LEO,Ind
2784,2016,33,MIDDLE CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,BLACK,HAPPY,GEMINI,Dem
1540,2016,43,LOWER CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,BLACK,UNHAPPY,CANCER,Rep
2627,2016,57,MIDDLE CLASS,JUNIOR COLLEGE,FEMALE,MARRIED,WHITE,HAPPY,ARIES,Ind
2506,2016,51,LOWER CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,CAPRICORN,Ind
